Frequency[Hz]	Experimental
1028.1	0.67237
1029.7	0.67326
1031.3	0.67459
1032.8	0.67476
1034.4	0.67432
1035.9	0.67365
1037.5	0.67067
1039.1	0.67146
1040.6	0.67339
1042.2	0.67411
1043.8	0.67277
1045.3	0.67243
1046.9	0.67007
1048.4	0.67303
1050.0	0.67456
1051.6	0.67492
1053.1	0.67220
1054.7	0.67164
1056.3	0.67480
1057.8	0.67353
1059.4	0.67563
1060.9	0.67497
1062.5	0.67324
1064.1	0.67323
1065.6	0.67176
1067.2	0.67085
1068.8	0.67166
1070.3	0.67316
1071.9	0.67263
1073.4	0.67356
1075.0	0.67461
1076.6	0.67184
1078.1	0.67372
1079.7	0.67297
1081.3	0.67173
1082.8	0.67144
1084.4	0.67319
1085.9	0.67374
1087.5	0.67293
1089.1	0.67308
1090.6	0.67387
1092.2	0.67219
1093.8	0.67250
1095.3	0.67401
1096.9	0.67455
1098.4	0.67296
1100.0	0.67335
1101.6	0.67375
1103.1	0.67304
1104.7	0.67438
1106.3	0.67374
1107.8	0.67331
1109.4	0.67268
1110.9	0.67381
1112.5	0.67522
1114.1	0.67475
1115.6	0.67464
1117.2	0.67358
1118.8	0.67338
1120.3	0.67413
1121.9	0.67405
1123.4	0.67476
1125.0	0.67409
1126.6	0.67384
1128.1	0.67393
1129.7	0.67407
1131.3	0.67357
1132.8	0.67243
1134.4	0.67237
1135.9	0.67258
1137.5	0.67301
1139.1	0.67278
1140.6	0.67143
1142.2	0.67127
1143.8	0.67116
1145.3	0.67123
1146.9	0.67125
1148.4	0.67083
1150.0	0.67052
1151.6	0.67145
1153.1	0.67143
1154.7	0.67101
1156.3	0.67108
1157.8	0.67056
1159.4	0.66991
1160.9	0.66890
1162.5	0.66987
1164.1	0.66875
1165.6	0.66913
1167.2	0.67021
1168.8	0.66975
1170.3	0.66969
1171.9	0.67013
1173.4	0.66899
1175.0	0.67026
1176.6	0.67222
1178.1	0.67239
1179.7	0.67304
1181.3	0.67370
1182.8	0.67479
1184.4	0.67381
1185.9	0.67369
1187.5	0.67481
1189.1	0.67335
1190.6	0.67179
1192.2	0.66973
1193.8	0.67097
1195.3	0.67145
1196.9	0.66942
1198.4	0.67085
1200.0	0.66943
1201.6	0.67165
1203.1	0.67083
1204.7	0.67023
1206.3	0.67091
1207.8	0.66720
1209.4	0.66622
1210.9	0.66827
1212.5	0.66745
1214.1	0.66359
1215.6	0.66504
1217.2	0.66672
1218.8	0.66863
1220.3	0.66675
1221.9	0.66809
1223.4	0.66639
1225.0	0.66962
1226.6	0.67023
1228.1	0.67082
1229.7	0.67271
1231.3	0.67009
1232.8	0.67303
1234.4	0.67221
1235.9	0.67271
1237.5	0.67112
1239.1	0.67064
1240.6	0.67336
1242.2	0.67119
1243.8	0.67088
1245.3	0.67233
1246.9	0.67182
1248.4	0.66864
1250.0	0.66923
1251.6	0.67085
1253.1	0.66968
1254.7	0.66985
1256.3	0.66953
1257.8	0.66723
1259.4	0.66891
1260.9	0.66878
1262.5	0.66859
1264.1	0.67007
1265.6	0.66873
1267.2	0.66886
1268.8	0.67051
1270.3	0.66972
1271.9	0.66927
1273.4	0.67024
1275.0	0.67245
1276.6	0.67216
1278.1	0.67272
1279.7	0.67330
1281.3	0.67274
1282.8	0.67377
1284.4	0.67351
1285.9	0.67433
1287.5	0.67334
1289.1	0.67504
1290.6	0.67499
1292.2	0.67639
1293.8	0.67718
1295.3	0.67802
1296.9	0.67858
1298.4	0.68141
1300.0	0.68044
1301.6	0.68000
1303.1	0.67927
1304.7	0.68073
1306.3	0.67917
1307.8	0.67850
1309.4	0.67790
1310.9	0.67908
1312.5	0.68149
1314.1	0.68106
1315.6	0.68004
1317.2	0.67868
1318.8	0.67478
1320.3	0.66899
1321.9	0.66428
1323.4	0.65832
1325.0	0.65214
1326.6	0.64723
1328.1	0.64722
1329.7	0.64962
1331.3	0.65500
1332.8	0.65290
1334.4	0.65555
1335.9	0.65770
1337.5	0.65596
1339.1	0.65379
1340.6	0.65362
1342.2	0.65241
1343.8	0.65067
1345.3	0.65065
